,artist_name,album_name,release_date,total_tracks
7,G.E.M.,I Feel You Tonight (Re-Edit),1994-07-01,2
8,Various Artists,Top 10 Dance '90 (Radio And Extended Versions),2016-02-19,20
9,Various Artists,"The Best Dance Hits '90, Vol. 3",2015-06-01,11
10,Various Artists,Top Hits '90 (81 Super Essential Songs),2015-05-20,81
11,Various Artists,Dance Mania '90 (30 Essential Super Hits Dance Compilation),2015-05-20,30
12,Various Artists,"Acappella '90, Pt. 2 (The Best Acappellas: Mix - Remix - Bootleg & Mashup)",2015-05-20,10
13,Various Artists,Super Dance Hits '90 (Essential Top Hits - The Very Best Dance '90),2015-05-19,22
14,Various Artists,"The Best Dance Hits '90, Vol. 1",2015-05-18,12
15,Various Artists,"Acappella '90, Pt. 1 (The Best Acappellas: Mix - Remix - Bootleg & Mashup)",2015-05-18,11
0,Captain Jack,Back To The Dancefloor,2011-12-16,13
1,Captain Jack,The Race,2009-11-06,9
2,Captain Jack,Captain Jack Is Back,2008-11-21,17
3,Captain Jack,Music Instructor,2004-11-01,12
4,Captain Jack,Cafe Cubar,2003-09-01,14
5,Captain Jack,Party Warriors,2003-08-21,13
6,Captain Jack,Top Secret,2001,14
7,Captain Jack,The Captain'S Revenge,1999-06-01,18
8,Captain Jack,Operation Dance,1997-05-29,14
9,Captain Jack,The Mission,1996-04-24,15
10,Captain Jack,Livin' On A Prayer,2023-04-21,1
11,Marnik,Hard Work,2022-06-24,1
12,MOTi,Loco Loco,2021-07-02,2
13,Captain Jack,Summersun,2021-06-11,1
14,Captain Jack,Summersun (Kenlo & Scaffa Remix),2021-06-11,1
15,Captain Jack,Sunny Side Of Life (Remixes),2021-01-29,10
16,Captain Jack,Sunny Side Of Life (Radio Video Mix),2020-09-25,1
18,Captain Jack,Change (Remix),2019-11-15,6
19,Captain Jack,Change (Radio Video Mix),2019-11-01,1
0,Milk Inc.,Undercover,2013-06-21,21
2,Milk Inc.,Nomansland,2012-04-13,13
3,Milk Inc.,Closer,2011-06-29,14
7,Milk Inc.,Forever,2009-05-05,13
9,Milk Inc.,Supersized,2006-09-01,14
11,Milk Inc.,Double Cream,2001,18
12,Milk Inc.,Land Of The Living,2000,11
13,Milk Inc.,Apocalypse Cow,1999,18
14,Milk Inc.,Last Night A Dj Saved My Life,2022-03-31,6
15,Milk Inc.,Don'T Say Goodbye,2014-10-20,1
17,Milk Inc.,La Vache 2014,2014-01-20,4
18,Milk Inc.,Sweet Child O' Mine,2013-09-20,4
19,Milk Inc.,Imagination,2013-09-16,2
0,Technotronic,Recall,1995,12
1,Technotronic,Body To Body,1991,11
2,Technotronic,Pump Up The Jam,1989-11-28,12
3,Technotronic,Pump Up The Jam (Hugo Cantarra Remix),2021-05-21,2
4,Technotronic,Pump Up The Jam (Nightfunk Remixes),2020-06-29,2
5,Technotronic,Pump Up The Jam (Nightfunk Remix),2020-06-12,1
6,Technotronic,Pump Up The Jam (Nightfunk Radio Edit),2020-05-29,1
7,Technotronic,Like This (The Sequel),2012-01-01,1
9,Technotronic,Pump Up The Jam (Radio Is Jumping Mix),2011-06-29,1
10,Technotronic,Pump Up The Jam 2010,2011-01-17,2
11,Technotronic,Pump Up The Jam 2010 (Crowd Is Jumpin' Mix),2010-01-01,2
12,D.O.N.S.,Pump Up The Jam (Feat. Technotronic),2005-01-07,5
13,Technotronic,The Greatest Hits,2017-03-08,17
14,Technotronic,Best Of,2011-01-01,19
15,Various Artists,Festival Dance Tent,2023-05-02,67
16,MK Studios,Footwork,2023-04-25,30
17,Various Artists,Retro Mania 4,2023-04-15,37
18,Various Artists,Electrónica Al Máximo,2023-03-24,25
19,Various Artists,Non-Stop Pop Vol 2,2023-03-02,22
0,Sky High,20 Från Fyrtio,2020-03-16,20
1,Sky High,Stone & Gravel,2015-09-25,12
2,Sky High,Download,2008-11-07,14
3,Sky High,Safe Sex - Live,2005-10-24,16
4,Sky High,Humanizer,2005-09-10,14
