,artist_name,album_name,release_date,total_tracks
13,Various Artists,Now 100 Hits 60S No.1S,2020-11-27,100
14,Various Artists,Top 40 Hitdossier - 60S (Sixties Top 100),2020-03-27,100
15,Various Artists,Hal Blaine Plays,2019-07-24,20
16,Various Artists,Haynes Ultimate Guide To 60S,2018-05-18,57
17,Various Artists,Bakishäng,2017-09-07,60
18,Various Artists,Bakissöndag,2017-09-07,60
19,Various Artists,Hangover Sunday,2017-09-07,60
0,Roy Orbison,King Of Hearts (2022 Remaster),2022-10-14,10
1,Roy Orbison,Roy Orbison - Die Rocklegende Der Sechziger Jahre (Biografie),2022-10-07,33
2,Roy Orbison,Smile For A While (Live 1965),2022-09-22,9
3,Roy Orbison,The Original Sound (Sun Records 70Th / Remastered 2022),2022-02-25,12
4,Roy Orbison,Our Favourites,2021-01-14,43
5,Roy Orbison,Golden Star Collection,2020-04-23,43
6,The Teen Kings,Brown Eyed Handsome Man,2020,11
7,Roy Orbison,Here Comes That Song Again,2020,13
8,Roy Orbison,Unchained Melodies: Roy Orbison & The Royal Philharmonic Orchestra,2018-11-16,15
9,Roy Orbison,A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,2017-11-24,18
11,Roy Orbison,Black & White Night 30 (Live),2017-02-24,19
12,Roy Orbison,The Last Concert,2010,14
13,Roy Orbison,Black & White Night,1989-11-23,17
14,Roy Orbison,Mystery Girl,1989,11
15,Roy Orbison,Mystery Girl Deluxe,1989,19
16,Roy Orbison,Live From Birmingham,1980-07-13,19
17,Roy Orbison,Live From The Fiesta Club,1980-03-25,20
18,Roy Orbison,Laminar Flow,1979,11
19,Roy Orbison,Regeneration,1977-01-01,10
0,The Righteous Brothers,This Little Girl Of Mine,2021-08-18,10
1,The Righteous Brothers,Solid Gold The Righteous Brothers,2021-01-20,24
2,The Righteous Brothers,All Time Greats,2019-11-15,40
3,The Righteous Brothers,The Righteous Brothers,2016-04-11,16
4,The Righteous Brothers,The Righteous Brothers: Live On The Sunset Strip,2008-01-01,16
5,The Righteous Brothers,Reunion,1991-01-21,11
6,The Righteous Brothers,Souled Out,1967-05-13,11
7,The Righteous Brothers,You'Ve Lost That Lovin' Feelin',1965-10-20,11
8,The Righteous Brothers,Just Once In My Life,1965-04-04,11
9,The Righteous Brothers,Back To Back,1965-02-17,11
10,The Righteous Brothers,Some Blue-Eyed Soul,1964-01-01,10
11,The Righteous Brothers,Right Now!,1963-01-01,12
13,The Righteous Brothers,"Turn On Your Love Light (Live On The Ed Sullivan Show, November 7, 1965)",2021-04-02,1
14,The Righteous Brothers,"You'Ll Never Walk Alone (Live On The Ed Sullivan Show, November 7, 1965)",2020-09-21,1
15,The Righteous Brothers,"Yes, Indeed! (Live On The Ed Sullivan Show, November 7, 1965)",2020-06-27,1
16,The Righteous Brothers,Unchained Melody (Remastered),2018-08-29,2
17,The Righteous Brothers,The Essential Collection,2013-01-01,20
18,The Righteous Brothers,The Definitive Collection,2009-01-01,21
19,The Righteous Brothers,Rock N' Roll Legends,2008-01-01,20
0,The Beach Boys,Sail On Sailor – 1972 (Deluxe),2022-12-02,45
1,The Beach Boys,Sail On Sailor – 1972 (Super Deluxe),2022-12-02,105
2,The Beach Boys,ビッグ・アーティスト・アルバム ザ・ビーチボーイズ,2022-09-22,13
3,The Beach Boys,ザ・ベスト・オブ・ザ・ビーチ・ボーイズ,2022-07-23,16
4,The Beach Boys,"""Feel Flows"" The Sunflower & Surf’S Up Sessions 1969-1971 (Super Deluxe)",2021-08-27,133
5,The Beach Boys,The Beach Boys On Tour: 1968 (Live),2018-12-14,114
6,The Beach Boys,I Can Hear Music: The 20/20 Sessions,2018-12-07,40
7,The Beach Boys,Wake The World: The Friends Sessions,2018-12-07,32
8,The Beach Boys,The Beach Boys With The Royal Philharmonic Orchestra,2018-06-08,17
9,The Beach Boys,1967 - Live Sunshine,2017-12-08,109
10,The Beach Boys,1967 - Sunshine Tomorrow 2 - The Studio Sessions,2017-12-08,29
11,The Beach Boys,1967 - Sunshine Tomorrow,2017-06-30,65
12,The Beach Boys,Graduation Day 1966: Live At The University Of Michigan,2016-12-09,31
13,The Beach Boys,Becoming The Beach Boys: The Complete Hite & Dorinda Morgan Sessions,2016-08-26,63
14,The Beach Boys,Live In Chicago 1965,2015-12-11,40
15,The Beach Boys,The Beach Boys’ Party! Uncovered And Unplugged,2015-11-20,81
16,The Beach Boys,Keep An Eye On Summer - The Beach Boys Sessions 1964,2014-01-01,46
17,The Beach Boys,The Beach Boys Live In Sacramento 1964,2014-01-01,37
18,The Beach Boys,That'S Why God Made The Radio,2012-06-05,13
