,artist_name,album_name,release_date,total_tracks
3,Max Pezzali,Max Nek Renga - Il Disco (Live),2018-03-09,32
4,Nek,Únicos,2017-06-23,11
5,Nek,Unici,2016-10-14,11
6,Nek,Laura Non C'È (Dj Antoine Vs. Mad Mark Remix),2016-02-02,8
7,Nek,Laura No Está (Dj Antoine Vs Mad Mark Remix),2015-10-30,8
8,Nek,Laura Non C'È (Dj Antoine Vs Mad Mark Remix),2015-10-27,8
9,Nek,Antes De Que Hables,2015-06-16,12
10,Nek,Prima Di Parlare,2015-03-02,12
12,Nek,Filippo Neviani (Spanish Version),2013-06-10,10
13,Nek,Filippo Neviani,2013-04-16,11
15,Nek,Nuevas Direcciones,2009-04-14,22
17,Nek,Un'Altra Direzione,2009-01-30,13
18,Nek,Un'Altra Direzione [Deluxe Album] [With Booklet],2009-01-30,14
19,Nek,En El Cuarto 26,2007-04-03,10
0,Dover,Complications,2015-02-09,10
1,Dover,Complications (Edición Especial Spotify),2015-02-09,11
2,Dover,"I Ka Kene ""The Remixes""",2011-05-16,14
3,Dover,I Ka Kene,2010-10-05,11
6,Dover,2,2007-11-27,25
7,Dover,Follow The City Lights,2006-10-02,10
8,Dover,The Flame,2003-10-27,12
9,Dover,It'S Good To Be Me!,2002-02-28,8
10,Dover,I Was Dead For 7 Weeks In The City Of Angels,2001-09-17,15
11,Dover,Late At Night,1999,13
12,Dover,Devil Came To Me,1997,12
13,Dover,Sister,1995,16
14,English,Thorns,2021-02-23,1
15,Baz,Memories,2020-06-12,1
16,Baz,Boyz In The Hood,2020-06-12,1
17,Dover,Te Amo,2019-03-20,1
18,Dover,Too Late,2015-01-12,1
19,Dover,What Goes Around Comes Around,2012-10-02,2
